 American Family Newberg ,"  American Family Newberg  2855 Hayes St Ste 102 
Newberg, Oregon U.S.A. ",, 7659622006,"American Family Newberg Rip off!  High cost, crap service, over billing? Newberg Oregon","
										According to my records my family and I have over paid Am Fam this last year by 2 payments, however every month I get a passed due notice.  I believe this company has been ripping my family off for years.  Unfortunately it's too hard to switch companies. Ann is rude and is NEVER helpful.  The 20 peices of junk mail from them every month is enough to make you freak out!
Mommyof2
somewhere, OregonU.S.A.									",  Insurance Agencies ,1
 AllInsuranceneedz.com ,"  AllInsuranceneedz.com  221 Broadway, Suite 312, 
Amityville, New York U.S.A. ",, 866-5720031,AllInsuranceneedz.com RIP OFF Broke Contract Amityville New York,"
										I signed a contract with Allinsuranceneedz to provide me with insurance leeds from 5 zipcodes for 12 months at a cost of $3,600.00. The Allinsuranceneedz rep was to contact me and provide a password to the secure web site where I was to obtain the leads. It is now 25 days after payment of $3,600.00 was made and no contact from the rep. I have called and e mailed everyday with no response from ALLInsuranceneedz. The rep was very persistent for me to contract with Allinsuranceneedz and called me every week but as soon as I sign the contract and the $3,600.00 was paid, no contact from any rep. at Allisnuranceneedz. If this company contact any insurance agent, slam the phone in their ear !!!!!!
Thomas sellers
Brush Valley, PennsylvaniaU.S.A.									",  Insurance Agencies ,0
 AllInsuranceNeedz.com ,"  AllInsuranceNeedz.com  221 Broadway 
Amityville, New York U.S.A. ",, 866-5720031,AllInsuranceNeedz.com  Internet Marketing Group  BROKE OUR CONTRACT Amityville New York,"
										I signed up with this company in December of 2006.  They provided leads to me up until 7/28/07, then stopped.  Repeated attempts to contact them by phone and email have gone unanswered.  I am owed $1500 in service for the period 7/28/07 to 12/28/07.
Mike 
Warwick, Rhode IslandU.S.A.									",  Insurance Agencies ,0
 NAA And Ed Orell ,"  NAA And Ed Orell  www.naaorell.com 
Lake Worth, Florida U.S.A. ",, 866-5720031,NAA And Ed Orell Do NOT Get involved with Ed Orell and NAA Lake Worth Florida,"
										Ed Orell will build your trust in him and then do everything to better his position and abuse your faith in all of mankind.  He will steal your down line agents and take your commissions.
I started with NAA in Apr '07 and very rapidly moved up the ranks being a top personal producer and was Promoted to Agency Manager in Nov '07.  According to Old Mutual I personally placed more than 400 life policies over the course of my first year.
I made $85,000 in 2007 but spent nearly $120,000 on leads and travel expenses to run those leads.  When I brought this up to Ed he just said ""that it was a new business and you are supposed to lose money in the first year"".  I kept working..
By  July of this year I had made right at $85,000 but again I had spent more than I made trying to run very expensive leads that were more than 1200 miles from my home.  Finally, in July, I had to throw in the towel.  My credit cards were maxed and I could no longer afford the trips that seemed to create great revenue but no net profits.
I still had a few agents working for me that seemed to be doing ok as they weren't having to travel to run the leads.  But over time they started dropping off and by September I only had one guy left.  During the National Convention Ed took my last guy from me.  Re coded all of his business to him and then canceled my contracts with all of the carriers and to ad insult to injury froze my commissions.
Ed will use you and abuse you, the whole while leading you to believe that you need to do all these crazy thing to be successful.  All these things make money for end but will put you and your family in the poor house.
STAY AWAY FROM ED ORELL!
Naa agency manager
South, FloridaU.S.A.									",  Insurance Agencies ,0
" WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association ","  WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association  515 New Jersey St Suite G 
Redlands, California U.S.A. ",, 866-5720031,"WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association Stole Commssions, that were owed to me. Redlands California","
										I wrote excellent business for Mr Charles Boyd, although not much, it was business that is still on the books! It seems as if Mr. Boyd takes advantage of agents, by either ignoring, or making up phoney excuses, to not pay recuring commissions. I would gladly enter into a joint suit, if that was possible, with others that were wronged by this man and his company.
Please, if others were wronged by him, post and let us hear from you.
Thanks, 
Nitty
Cherry Hill, New JerseyU.S.A.									",  Insurance Agencies ,0
 Pasco Claims Service - Craig Scott ,"  Pasco Claims Service - Craig Scott  P.O. Box 93988 
Southlake, Texas U.S.A. ",, 866-5720031,Pasco Claims Service - Craig Scott Overworked Without Pay Southlake Texas,"
										I was offered work by Pasco Claims Service, and accepted. They ""forgot"" to download claims to me in MSB for the first 5-days, which left me 35 claims behind right out of the starting gate.  What I didn't know was that they're using long-term, unlicensed adjusters, say you'll receive pay 10-days after a claim is submitted, then don't pay for at the very least, 2-months. If you ask too many questions about receiving pay for the claims you've worked the HR/Payroll person either ignores you, or sends a response at 5:00pm on a Friday (she doesn't work weekends). 
They left me stranded literally, in the middle of no where, and when I requested either an advance, or a paycheck, in order to finish scoping claims they'd assigned to me, not to mention pay bills at home, I was told that I was no longer working for them per Craig Scott, and that I had less than 2 days to submit what I had. They then had MSB shut down so that I couldn't work on claims. I had to remind them that this was coming out of my first paycheck that I hadn't received, and it was reinstated. I've submitted ALOT of claims, and they're looking at, maybe one, two at the very most, per day, and that's only if one of their clients calls and asks for a status (after they've called me and ripped me a few new ones thinking their claim hasn't been submitted).
I've already talked to one attorney. I'm probably going to give him another call as the email response I received at 5:01pm (Texas time) stated that I will not see a paycheck for at LEAST 2-3 more weeks.
I've never heard of adjusting practices like this regarding other independent adjusting agencies. I'm disgusted, and trying to quickly find work so that I can catch up, I hope, on the last 2-months of bills that I have accumulated.
If you're an independent adjuster, use good judgement before working for Pasco. If you're having the same issues, my next steps will be to file complaints with the Texas Labor Board, Texas Dept of Insurance as well as any Federal agency that has to do with fraudulent insurance practices.
After all of this, I'll let my attorney handle them.
Overworked not paid
Altamonte Springs, FloridaU.S.A.									",  Insurance Agencies ,0
 United American Insurance ,"  United American Insurance  1205 Terminal Way 
Reno, Nevada U.S.A. ",, 866-5720031,United American Insurance Rip off of employees and money from clients Reno Nevada,"
										United American Insurance is a scam they have people sell insurance that is not what it seems. It pays less than benifits than the brochures say. They down grade the whole life policies and say house hold has max premium can have but still keep all premium that agent sells on. 
 I had $800 dollars in premium for policies they kept all and said my family could only handle $150 a month then cancelled all policies because of a returned check and charged the agent for that cacellation. When asked for premium return they said is agents responsiblity. THen they took out another monthly premium for $54 on a cancelled life policy.
 When asked for number to file complaint and get premiums back i was told to go to websight and file complaint or call home offices. 
United American issued policies not the Agent and United American cashed the checks not the Agent. So united american owes permiums back not the Agent who was suckered into working for them with promise of leads and reliable and strong company that could write up to a $2000000 dollar life policy but all the polices he did got down graded to like $25 a month.
 I have filed a complaint with the DOI in Nevada and am looking for other who have had same problem to file a class action lawsuit against United American and Torchmark INC. They have other companies Glob Life, AIL, LIberty National,UA and severa other Names they go by.
Amber
Reno, NevadaU.S.A.									",  Insurance Agencies ,0
 Premier Financial Securities Inc.   Peoples Heritage Savings Bank ,"  Premier Financial Securities Inc.   Peoples Heritage Savings Bank  7 Port St. 
Midland, Ontario Canada ",, 866-5720031,Premier Financial Securities - Shoppers Sweepstake sent a lette4r in s regulsr envrlopr ith no retun adress with a check of 4890.00 saying you won 2500.000.00 us dollars call mary long Midland Ontario,"
										sir/madam,
we are pleased to inform you that you are one of he declared winners of the SHOPPERS SWEEPSTAKES held on OCTOBER 5th,of 2008 i the category. Ticket serial NO 387450146 drew the lucky winning  NO 38-44-66-79-91.
We have made many unsuccessful attempts to contact you regarding this winning . you are therefore entitled to the sum of $2500.000.00 US DOLLARS. This is from total prize money of 5 million US dollar that was shared and presented among the other 20 declared winners. PLEASE note that all the participants were selected through a random computer ballot system drawn from over 50.000 names.
your claim is DH/SUL-0011and has been assigned to our North American Claims Affiliate. to expedite the processing enclosed is the check of $4890.00 us dollars which has been deducted from your winning.the sole purpose of this check is for the payment of applicable Government taxes on your big winnings.
the tax amount is $2985.00 us dollars(two thousand nine hundred eighty five dollars ) to be paid by either money gram or western union.
please to no attempt to use this check until you call . you are advised to contact you claim agent immediately for further clarification as indicated below within 5 business days.
bob Morris,1-416-826-2774
congratulations. 
yours truly
Mary long(promotion manager).
Anonymous
lake mills, IowaU.S.A.									",  Insurance Agencies ,0
 El Gordo Loto International Sweepstakes S.A. ,"  El Gordo Loto International Sweepstakes S.A.  Caracas De Mayor#4-9,28096, 
Madrid, Other Spain ",, 866-5720031,"El GEl Gordo Loto International Sweepstakes S.A. they told me that i have won 900,000 euros and that i will recieve the money on my account in 24 hours but the bank charges me with 800 euros for transfer cost ,and to send them the money via western union Madrid Other","
										they told me that i have won 900,000 euros and that i will recieve the money on my account in 24 hours butttttt... the bank charges me with 800 euros for transfer cost ,and to send them the money via western union wich i didn't thnks to this web site
Aruba
arubaAruba									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Virtual Lending Souce -  Virtual GAP ,"  Virtual Lending Souce -  Virtual GAP  8080 Dagget St.  Ste 220 
San Diego, California U.S.A. ",, 866-5720031,Virtual Lending Souce - Virtual GAP - Gap Insurance Ripoff San Diego California ,"
										I purchase GAP insurance in case of an accident.  Well...  From reports and what I read from the company they cover the difference between what the primary insurance does not and what is owed.  Well they calculated on their own what the balance of the car loan should be not the actual pay-off.  The account was current at the time of the accided. What they don't tell you is they don't cover the interest.  Next bit - The covered the GAP between the amount they calculated to be owed and what the NADA value was.  Leaving me a balance of $2669.49.  The took 112 days to settle, which accrued late fees that they say they aren't responsible for. They paid a measly $369.42.  Unbelievable!!!  Now I have gathered that the way the Primary insurance (Allstate) and the GAP insurance claim the value are two different ways.  Now I've got the finance company telling me its going into charge-off stage if I don't pay the $1298 past due.  In which I was advised to wait for the settlement amount.  I don't understand this maze as to which I am trying to find the end of but I can complain as much as I want.  Any help you can provide would be greatly be appreciated.
Scourned
Round Rock, TexasU.S.A.									",  Insurance Agencies ,0
 AllInsuranceneedz.com ,"  AllInsuranceneedz.com  221 Broadway, Suite 312, 
Amityville, New York U.S.A. ",, 866-5720031,AllInsuranceneedz.com RIP OFF Broke Contract Amityville New York,"
										I signed a contract with Allinsuranceneedz to provide me with insurance leeds from 5 zipcodes for 12 months at a cost of $3,600.00. The Allinsuranceneedz rep was to contact me and provide a password to the secure web site where I was to obtain the leads. It is now 25 days after payment of $3,600.00 was made and no contact from the rep. I have called and e mailed everyday with no response from ALLInsuranceneedz. The rep was very persistent for me to contract with Allinsuranceneedz and called me every week but as soon as I sign the contract and the $3,600.00 was paid, no contact from any rep. at Allisnuranceneedz. If this company contact any insurance agent, slam the phone in their ear !!!!!!
Thomas sellers
Brush Valley, PennsylvaniaU.S.A.									",  Insurance Agencies ,0
 AllInsuranceNeedz.com ,"  AllInsuranceNeedz.com  221 Broadway 
Amityville, New York U.S.A. ",, 866-5720031,AllInsuranceNeedz.com  Internet Marketing Group  BROKE OUR CONTRACT Amityville New York,"
										I signed up with this company in December of 2006.  They provided leads to me up until 7/28/07, then stopped.  Repeated attempts to contact them by phone and email have gone unanswered.  I am owed $1500 in service for the period 7/28/07 to 12/28/07.
Mike 
Warwick, Rhode IslandU.S.A.									",  Insurance Agencies ,0
 NAA And Ed Orell ,"  NAA And Ed Orell  www.naaorell.com 
Lake Worth, Florida U.S.A. ",, 866-5720031,NAA And Ed Orell Do NOT Get involved with Ed Orell and NAA Lake Worth Florida,"
										Ed Orell will build your trust in him and then do everything to better his position and abuse your faith in all of mankind.  He will steal your down line agents and take your commissions.
I started with NAA in Apr '07 and very rapidly moved up the ranks being a top personal producer and was Promoted to Agency Manager in Nov '07.  According to Old Mutual I personally placed more than 400 life policies over the course of my first year.
I made $85,000 in 2007 but spent nearly $120,000 on leads and travel expenses to run those leads.  When I brought this up to Ed he just said ""that it was a new business and you are supposed to lose money in the first year"".  I kept working..
By  July of this year I had made right at $85,000 but again I had spent more than I made trying to run very expensive leads that were more than 1200 miles from my home.  Finally, in July, I had to throw in the towel.  My credit cards were maxed and I could no longer afford the trips that seemed to create great revenue but no net profits.
I still had a few agents working for me that seemed to be doing ok as they weren't having to travel to run the leads.  But over time they started dropping off and by September I only had one guy left.  During the National Convention Ed took my last guy from me.  Re coded all of his business to him and then canceled my contracts with all of the carriers and to ad insult to injury froze my commissions.
Ed will use you and abuse you, the whole while leading you to believe that you need to do all these crazy thing to be successful.  All these things make money for end but will put you and your family in the poor house.
STAY AWAY FROM ED ORELL!
Naa agency manager
South, FloridaU.S.A.									",  Insurance Agencies ,0
" WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association ","  WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association  515 New Jersey St Suite G 
Redlands, California U.S.A. ",, 866-5720031,"WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association Stole Commssions, that were owed to me. Redlands California","
										I wrote excellent business for Mr Charles Boyd, although not much, it was business that is still on the books! It seems as if Mr. Boyd takes advantage of agents, by either ignoring, or making up phoney excuses, to not pay recuring commissions. I would gladly enter into a joint suit, if that was possible, with others that were wronged by this man and his company.
Please, if others were wronged by him, post and let us hear from you.
Thanks, 
Nitty
Cherry Hill, New JerseyU.S.A.									",  Insurance Agencies ,0
 Pasco Claims Service - Craig Scott ,"  Pasco Claims Service - Craig Scott  P.O. Box 93988 
Southlake, Texas U.S.A. ",, 866-5720031,Pasco Claims Service - Craig Scott Overworked Without Pay Southlake Texas,"
										I was offered work by Pasco Claims Service, and accepted. They ""forgot"" to download claims to me in MSB for the first 5-days, which left me 35 claims behind right out of the starting gate.  What I didn't know was that they're using long-term, unlicensed adjusters, say you'll receive pay 10-days after a claim is submitted, then don't pay for at the very least, 2-months. If you ask too many questions about receiving pay for the claims you've worked the HR/Payroll person either ignores you, or sends a response at 5:00pm on a Friday (she doesn't work weekends). 
They left me stranded literally, in the middle of no where, and when I requested either an advance, or a paycheck, in order to finish scoping claims they'd assigned to me, not to mention pay bills at home, I was told that I was no longer working for them per Craig Scott, and that I had less than 2 days to submit what I had. They then had MSB shut down so that I couldn't work on claims. I had to remind them that this was coming out of my first paycheck that I hadn't received, and it was reinstated. I've submitted ALOT of claims, and they're looking at, maybe one, two at the very most, per day, and that's only if one of their clients calls and asks for a status (after they've called me and ripped me a few new ones thinking their claim hasn't been submitted).
I've already talked to one attorney. I'm probably going to give him another call as the email response I received at 5:01pm (Texas time) stated that I will not see a paycheck for at LEAST 2-3 more weeks.
I've never heard of adjusting practices like this regarding other independent adjusting agencies. I'm disgusted, and trying to quickly find work so that I can catch up, I hope, on the last 2-months of bills that I have accumulated.
If you're an independent adjuster, use good judgement before working for Pasco. If you're having the same issues, my next steps will be to file complaints with the Texas Labor Board, Texas Dept of Insurance as well as any Federal agency that has to do with fraudulent insurance practices.
After all of this, I'll let my attorney handle them.
Overworked not paid
Altamonte Springs, FloridaU.S.A.									",  Insurance Agencies ,0
 United American Insurance ,"  United American Insurance  1205 Terminal Way 
Reno, Nevada U.S.A. ",, 866-5720031,United American Insurance Rip off of employees and money from clients Reno Nevada,"
										United American Insurance is a scam they have people sell insurance that is not what it seems. It pays less than benifits than the brochures say. They down grade the whole life policies and say house hold has max premium can have but still keep all premium that agent sells on. 
 I had $800 dollars in premium for policies they kept all and said my family could only handle $150 a month then cancelled all policies because of a returned check and charged the agent for that cacellation. When asked for premium return they said is agents responsiblity. THen they took out another monthly premium for $54 on a cancelled life policy.
 When asked for number to file complaint and get premiums back i was told to go to websight and file complaint or call home offices. 
United American issued policies not the Agent and United American cashed the checks not the Agent. So united american owes permiums back not the Agent who was suckered into working for them with promise of leads and reliable and strong company that could write up to a $2000000 dollar life policy but all the polices he did got down graded to like $25 a month.
 I have filed a complaint with the DOI in Nevada and am looking for other who have had same problem to file a class action lawsuit against United American and Torchmark INC. They have other companies Glob Life, AIL, LIberty National,UA and severa other Names they go by.
Amber
Reno, NevadaU.S.A.									",  Insurance Agencies ,0
 Premier Financial Securities Inc.   Peoples Heritage Savings Bank ,"  Premier Financial Securities Inc.   Peoples Heritage Savings Bank  7 Port St. 
Midland, Ontario Canada ",, 866-5720031,Premier Financial Securities - Shoppers Sweepstake sent a lette4r in s regulsr envrlopr ith no retun adress with a check of 4890.00 saying you won 2500.000.00 us dollars call mary long Midland Ontario,"
										sir/madam,
we are pleased to inform you that you are one of he declared winners of the SHOPPERS SWEEPSTAKES held on OCTOBER 5th,of 2008 i the category. Ticket serial NO 387450146 drew the lucky winning  NO 38-44-66-79-91.
We have made many unsuccessful attempts to contact you regarding this winning . you are therefore entitled to the sum of $2500.000.00 US DOLLARS. This is from total prize money of 5 million US dollar that was shared and presented among the other 20 declared winners. PLEASE note that all the participants were selected through a random computer ballot system drawn from over 50.000 names.
your claim is DH/SUL-0011and has been assigned to our North American Claims Affiliate. to expedite the processing enclosed is the check of $4890.00 us dollars which has been deducted from your winning.the sole purpose of this check is for the payment of applicable Government taxes on your big winnings.
the tax amount is $2985.00 us dollars(two thousand nine hundred eighty five dollars ) to be paid by either money gram or western union.
please to no attempt to use this check until you call . you are advised to contact you claim agent immediately for further clarification as indicated below within 5 business days.
bob Morris,1-416-826-2774
congratulations. 
yours truly
Mary long(promotion manager).
Anonymous
lake mills, IowaU.S.A.									",  Insurance Agencies ,0
 El Gordo Loto International Sweepstakes S.A. ,"  El Gordo Loto International Sweepstakes S.A.  Caracas De Mayor#4-9,28096, 
Madrid, Other Spain ",, 866-5720031,"El GEl Gordo Loto International Sweepstakes S.A. they told me that i have won 900,000 euros and that i will recieve the money on my account in 24 hours but the bank charges me with 800 euros for transfer cost ,and to send them the money via western union Madrid Other","
										they told me that i have won 900,000 euros and that i will recieve the money on my account in 24 hours butttttt... the bank charges me with 800 euros for transfer cost ,and to send them the money via western union wich i didn't thnks to this web site
Aruba
arubaAruba									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Global Discount Healthcare Benefits ,"  Global Discount Healthcare Benefits  197 Route 18 South, Suite 3000 
East Brunswick, New Jersey U.S.A. ",, 866-5720031,Global Discount Healthcare Benefits ripoff fraud business fake benefits East Brunswick New Jersey,"
										Global Discount Healthcare Benefits is a company that offers supplemental insurence with a 30 day free trial and all you have to give them is your bank account numbers! My wife was scamed trying to do something good for our family, thats $349.00 down the drain!
Eric
Claxton, GeorgiaU.S.A.									",  Insurance Agencies ,0
 Virtual Lending Souce -  Virtual GAP ,"  Virtual Lending Souce -  Virtual GAP  8080 Dagget St.  Ste 220 
San Diego, California U.S.A. ",, 866-5720031,Virtual Lending Souce - Virtual GAP - Gap Insurance Ripoff San Diego California ,"
										I purchase GAP insurance in case of an accident.  Well...  From reports and what I read from the company they cover the difference between what the primary insurance does not and what is owed.  Well they calculated on their own what the balance of the car loan should be not the actual pay-off.  The account was current at the time of the accided. What they don't tell you is they don't cover the interest.  Next bit - The covered the GAP between the amount they calculated to be owed and what the NADA value was.  Leaving me a balance of $2669.49.  The took 112 days to settle, which accrued late fees that they say they aren't responsible for. They paid a measly $369.42.  Unbelievable!!!  Now I have gathered that the way the Primary insurance (Allstate) and the GAP insurance claim the value are two different ways.  Now I've got the finance company telling me its going into charge-off stage if I don't pay the $1298 past due.  In which I was advised to wait for the settlement amount.  I don't understand this maze as to which I am trying to find the end of but I can complain as much as I want.  Any help you can provide would be greatly be appreciated.
Scourned
Round Rock, TexasU.S.A.									",  Insurance Agencies ,0
 AllInsuranceneedz.com ,"  AllInsuranceneedz.com  221 Broadway, Suite 312, 
Amityville, New York U.S.A. ",, 866-5720031,AllInsuranceneedz.com RIP OFF Broke Contract Amityville New York,"
										I signed a contract with Allinsuranceneedz to provide me with insurance leeds from 5 zipcodes for 12 months at a cost of $3,600.00. The Allinsuranceneedz rep was to contact me and provide a password to the secure web site where I was to obtain the leads. It is now 25 days after payment of $3,600.00 was made and no contact from the rep. I have called and e mailed everyday with no response from ALLInsuranceneedz. The rep was very persistent for me to contract with Allinsuranceneedz and called me every week but as soon as I sign the contract and the $3,600.00 was paid, no contact from any rep. at Allisnuranceneedz. If this company contact any insurance agent, slam the phone in their ear !!!!!!
Thomas sellers
Brush Valley, PennsylvaniaU.S.A.									",  Insurance Agencies ,0
 AllInsuranceNeedz.com ,"  AllInsuranceNeedz.com  221 Broadway 
Amityville, New York U.S.A. ",, 866-5720031,AllInsuranceNeedz.com  Internet Marketing Group  BROKE OUR CONTRACT Amityville New York,"
										I signed up with this company in December of 2006.  They provided leads to me up until 7/28/07, then stopped.  Repeated attempts to contact them by phone and email have gone unanswered.  I am owed $1500 in service for the period 7/28/07 to 12/28/07.
Mike 
Warwick, Rhode IslandU.S.A.									",  Insurance Agencies ,0
 NAA And Ed Orell ,"  NAA And Ed Orell  www.naaorell.com 
Lake Worth, Florida U.S.A. ",, 866-5720031,NAA And Ed Orell Do NOT Get involved with Ed Orell and NAA Lake Worth Florida,"
										Ed Orell will build your trust in him and then do everything to better his position and abuse your faith in all of mankind.  He will steal your down line agents and take your commissions.
I started with NAA in Apr '07 and very rapidly moved up the ranks being a top personal producer and was Promoted to Agency Manager in Nov '07.  According to Old Mutual I personally placed more than 400 life policies over the course of my first year.
I made $85,000 in 2007 but spent nearly $120,000 on leads and travel expenses to run those leads.  When I brought this up to Ed he just said ""that it was a new business and you are supposed to lose money in the first year"".  I kept working..
By  July of this year I had made right at $85,000 but again I had spent more than I made trying to run very expensive leads that were more than 1200 miles from my home.  Finally, in July, I had to throw in the towel.  My credit cards were maxed and I could no longer afford the trips that seemed to create great revenue but no net profits.
I still had a few agents working for me that seemed to be doing ok as they weren't having to travel to run the leads.  But over time they started dropping off and by September I only had one guy left.  During the National Convention Ed took my last guy from me.  Re coded all of his business to him and then canceled my contracts with all of the carriers and to ad insult to injury froze my commissions.
Ed will use you and abuse you, the whole while leading you to believe that you need to do all these crazy thing to be successful.  All these things make money for end but will put you and your family in the poor house.
STAY AWAY FROM ED ORELL!
Naa agency manager
South, FloridaU.S.A.									",  Insurance Agencies ,0
" WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association ","  WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association  515 New Jersey St Suite G 
Redlands, California U.S.A. ",, 866-5720031,"WIMG, Wholesale Insurance Marketing Group, Charles Boyd, CDBA, Consumer Driven Benefits Association Stole Commssions, that were owed to me. Redlands California","
										I wrote excellent business for Mr Charles Boyd, although not much, it was business that is still on the books! It seems as if Mr. Boyd takes advantage of agents, by either ignoring, or making up phoney excuses, to not pay recuring commissions. I would gladly enter into a joint suit, if that was possible, with others that were wronged by this man and his company.
Please, if others were wronged by him, post and let us hear from you.
Thanks, 
Nitty
Cherry Hill, New JerseyU.S.A.									",  Insurance Agencies ,0
 Pasco Claims Service - Craig Scott ,"  Pasco Claims Service - Craig Scott  P.O. Box 93988 
Southlake, Texas U.S.A. ",, 866-5720031,Pasco Claims Service - Craig Scott Overworked Without Pay Southlake Texas,"
										I was offered work by Pasco Claims Service, and accepted. They ""forgot"" to download claims to me in MSB for the first 5-days, which left me 35 claims behind right out of the starting gate.  What I didn't know was that they're using long-term, unlicensed adjusters, say you'll receive pay 10-days after a claim is submitted, then don't pay for at the very least, 2-months. If you ask too many questions about receiving pay for the claims you've worked the HR/Payroll person either ignores you, or sends a response at 5:00pm on a Friday (she doesn't work weekends). 
They left me stranded literally, in the middle of no where, and when I requested either an advance, or a paycheck, in order to finish scoping claims they'd assigned to me, not to mention pay bills at home, I was told that I was no longer working for them per Craig Scott, and that I had less than 2 days to submit what I had. They then had MSB shut down so that I couldn't work on claims. I had to remind them that this was coming out of my first paycheck that I hadn't received, and it was reinstated. I've submitted ALOT of claims, and they're looking at, maybe one, two at the very most, per day, and that's only if one of their clients calls and asks for a status (after they've called me and ripped me a few new ones thinking their claim hasn't been submitted).
I've already talked to one attorney. I'm probably going to give him another call as the email response I received at 5:01pm (Texas time) stated that I will not see a paycheck for at LEAST 2-3 more weeks.
I've never heard of adjusting practices like this regarding other independent adjusting agencies. I'm disgusted, and trying to quickly find work so that I can catch up, I hope, on the last 2-months of bills that I have accumulated.
If you're an independent adjuster, use good judgement before working for Pasco. If you're having the same issues, my next steps will be to file complaints with the Texas Labor Board, Texas Dept of Insurance as well as any Federal agency that has to do with fraudulent insurance practices.
After all of this, I'll let my attorney handle them.
Overworked not paid
Altamonte Springs, FloridaU.S.A.									",  Insurance Agencies ,0
